,id,benchmark_dataset_name,origin,source_format,summary_origin,error_origin,error_type,error_categorization,model,nonfactual_spans,nonfactual_spans_category,source,summary
0,34125832,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,centenary<sep>isle of man<sep>wiltshire,"['extrinsic', 'extrinsic', 'extrinsic']","                                               document  \
2506  Private Derby XXX was promoted to the rank of ...   

                                                summary        id  
2506  A sheep which is the mascot of a British Army ...  34125832  ",the centenary of the christmas truce between the isle of man has been unveiled at a private derby in wiltshire.
1,34125832,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,,[],"                                               document  \
2506  Private Derby XXX was promoted to the rank of ...   

                                                summary        id  
2506  A sheep which is the mascot of a British Army ...  34125832  ",a sheep which is the mascot of a british army regiment has been promoted at a ceremony marking its formation.
2,34125832,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,from derbyshire<sep>freedom of the city of derbyshire,"['intrinsic', 'extrinsic']","                                               document  \
2506  Private Derby XXX was promoted to the rank of ...   

                                                summary        id  
2506  A sheep which is the mascot of a British Army ...  34125832  ",a former soldier from derbyshire has been awarded the freedom of the city of derbyshire.
3,34125832,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,given a new name,['extrinsic'],"                                               document  \
2506  Private Derby XXX was promoted to the rank of ...   

                                                summary        id  
2506  A sheep which is the mascot of a British Army ...  34125832  ",an army mascot named after a soldier has been given a new name.
4,34125832,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,a world war one soldier has taken part in a parade marking the 100th anniversary of his battle of the somme,['extrinsic'],"                                               document  \
2506  Private Derby XXX was promoted to the rank of ...   

                                                summary        id  
2506  A sheep which is the mascot of a British Army ...  34125832  ",a world war one soldier has taken part in a parade marking the 100th anniversary of his battle of the somme.
5,40726537,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,ulster grand prix champion<sep>chris<sep>because of injury,"['intrinsic', 'extrinsic', 'intrinsic']","                                               document  \
8795  The English rider crashed at this year's TT an...   

                                                summary        id  
8795  Road racer Guy Martin says he will not compete...  40726537  ",ulster grand prix champion chris martin has been forced to pull out of the ulster grand prix because of injury.
6,40726537,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,rest of 2017 after a frustrating season,['extrinsic'],"                                               document  \
8795  The English rider crashed at this year's TT an...   

                                                summary        id  
8795  Road racer Guy Martin says he will not compete...  40726537  ",road racer guy martin says he will not compete for honda for the rest of 2017 after a frustrating season.
7,40726537,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,guy,['extrinsic'],"                                               document  \
8795  The English rider crashed at this year's TT an...   

                                                summary        id  
8795  Road racer Guy Martin says he will not compete...  40726537  ",guy martin has said he will not compete in racing at this year\'s ulster grand prix.
8,40726537,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,guy<sep>next<sep>isle of ma,"['extrinsic', 'intrinsic', 'intrinsic']","                                               document  \
8795  The English rider crashed at this year's TT an...   

                                                summary        id  
8795  Road racer Guy Martin says he will not compete...  40726537  ",guy martin has confirmed he will not race in the honda honda honda bike at next year\'s isle of man tt.
9,40726537,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,northern ireland\'<sep>not quit racin<sep>2016 isle of ma,"['extrinsic', 'intrinsic', 'extrinsic']","                                               document  \
8795  The English rider crashed at this year's TT an...   

                                                summary        id  
8795  Road racer Guy Martin says he will not compete...  40726537  ",northern ireland\'s martin mcguinness has said he will not quit racing at the 2016 isle of man tt because of a mechanical problem.
10,36960270,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,manchester united have been named as the new manager of the premier league\'s fa cup game against manchester unite,['extrinsic'],"                                               document  \
5975  It will be available to 1.7bn people on the pl...   

                                                summary        id  
5975  Wayne Rooney's testimonial match between Manch...  36960270  ",manchester united have been named as the new manager of the premier league\'s fa cup game against manchester united.
11,36960270,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,wayne<sep>everton on wednesday will make histor<sep>premier leagu,"['extrinsic', 'extrinsic', 'extrinsic']","                                               document  \
5975  It will be available to 1.7bn people on the pl...   

                                                summary        id  
5975  Wayne Rooney's testimonial match between Manch...  36960270  ",wayne rooney\'s testimonial match between manchester united and everton on wednesday will make history as the first ever game between premier league teams to be streamed live on facebook.
12,36960270,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,first appearance in the united states next mont,['extrinsic'],"                                               document  \
5975  It will be available to 1.7bn people on the pl...   

                                                summary        id  
5975  Wayne Rooney's testimonial match between Manch...  36960270  ",manchester united\'s wayne rooney will make his first appearance in the united states next month.
13,36960270,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,agains,['extrinsic'],"                                               document  \
5975  It will be available to 1.7bn people on the pl...   

                                                summary        id  
5975  Wayne Rooney's testimonial match between Manch...  36960270  ",wayne rooney\'s testimonial against manchester united has been broadcast live on facebook.
14,36960270,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,wayne<sep>manchester united<sep>on saturda,"['extrinsic', 'intrinsic', 'extrinsic']","                                               document  \
5975  It will be available to 1.7bn people on the pl...   

                                                summary        id  
5975  Wayne Rooney's testimonial match between Manch...  36960270  ",wayne rooney has become the first player to play in manchester united\'s match against manchester united on saturday.
15,37728276,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,"a new study has been discovered at a nature reserve in norfolk, where a new study has been found",['extrinsic'],"                                               document  \
6982  21 October 2016 Last updated at 15:03 BST\nIn ...   

                                                summary        id  
6982  Spiny seahorses may soon be locally extinct at...  37728276  ","a new study has been discovered at a nature reserve in norfolk, where a new study has been found."
16,37728276,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,spiny<sep>studland<sep>dorset,"['extrinsic', 'extrinsic', 'extrinsic']","                                               document  \
6982  21 October 2016 Last updated at 15:03 BST\nIn ...   

                                                summary        id  
6982  Spiny seahorses may soon be locally extinct at...  37728276  ","spiny seahorses may soon be locally extinct at studland bay in dorset, according to the seahorse trust."
17,37728276,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,updated bay has been spotted<sep>england,"['extrinsic', 'extrinsic']","                                               document  \
6982  21 October 2016 Last updated at 15:03 BST\nIn ...   

                                                summary        id  
6982  Spiny seahorses may soon be locally extinct at...  37728276  ",a updated bay has been spotted at a beach in south south england.
18,37728276,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,why<sep>dorset coast,"['extrinsic', 'extrinsic']","                                               document  \
6982  21 October 2016 Last updated at 15:03 BST\nIn ...   

                                                summary        id  
6982  Spiny seahorses may soon be locally extinct at...  37728276  ",an investigation is under way to find out why a seahorse was spotted on the dorset coast.
19,37728276,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,"a girl has been spotted on a yacht in the north sea, according to a new study",['extrinsic'],"                                               document  \
6982  21 October 2016 Last updated at 15:03 BST\nIn ...   

                                                summary        id  
6982  Spiny seahorses may soon be locally extinct at...  37728276  ","a girl has been spotted on a yacht in the north sea, according to a new study."
20,38324244,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,new york city,['extrinsic'],"                                               document  \
7360  The 39-year-old, who goes by the name Mick Fet...   

                                                summary        id  
7360  A Sydney police officer and huge Star Wars fan...  38324244  ",star wars: the new york city of fett has been speaking to the bbc about how he\'s first film about the darth vader costume.
21,38324244,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,,[],"                                               document  \
7360  The 39-year-old, who goes by the name Mick Fet...   

                                                summary        id  
7360  A Sydney police officer and huge Star Wars fan...  38324244  ",a sydney police officer and huge star wars fan has become a local hit after creating a darth vader costume painted with the australian flag.
22,38324244,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,star wars star wars star wars star wars star wars has returned to the west end for the first time,['extrinsic'],"                                               document  \
7360  The 39-year-old, who goes by the name Mick Fet...   

                                                summary        id  
7360  A Sydney police officer and huge Star Wars fan...  38324244  ",star wars star wars star wars star wars star wars has returned to the west end for the first time.
23,38324244,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,australian<sep>movie,"['extrinsic', 'intrinsic']","                                               document  \
7360  The 39-year-old, who goes by the name Mick Fet...   

                                                summary        id  
7360  A Sydney police officer and huge Star Wars fan...  38324244  ",the australian man who made the darth vader star wars movie has made his own memorabilia.
24,38324244,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,"star wars actor<sep>john<sep>says he is "" overwhelmed<sep>the force awakens","['intrinsic', 'extrinsic', 'intrinsic', 'extrinsic']","                                               document  \
7360  The 39-year-old, who goes by the name Mick Fet...   

                                                summary        id  
7360  A Sydney police officer and huge Star Wars fan...  38324244  ","star wars actor john fett says he is "" overwhelmed "" by the latest collection of star wars: the force awakens."
25,38131741,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,,[],"                                               document  \
3723  The firm said it had signed a Letter of Intent...   

                                                summary        id  
3723  Tata Steel has announced its preferred bidder ...  38131741  ",tata steel has said it is planning talks with liberty house group in the wake of the sale of tata steel.
26,38131741,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,100m,['extrinsic'],"                                               document  \
3723  The firm said it had signed a Letter of Intent...   

                                                summary        id  
3723  Tata Steel has announced its preferred bidder ...  38131741  ",tata steel has announced its preferred bidder for the # 100m sale of its speciality steels division based in south yorkshire.
27,38131741,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,,[],"                                               document  \
3723  The firm said it had signed a Letter of Intent...   

                                                summary        id  
3723  Tata Steel has announced its preferred bidder ...  38131741  ",tata steel has announced it is to close its operations in the uk.
28,38131741,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,confirmed it is in talks<sep>about selling,"['intrinsic', 'intrinsic']","                                               document  \
3723  The firm said it had signed a Letter of Intent...   

                                                summary        id  
3723  Tata Steel has announced its preferred bidder ...  38131741  ",tata steel has confirmed it is in talks with the company about selling its long products division.
